Counties,Sex,Cancer,PopTot,AAIR,Cancer_Incidents
Alameda,Male,Prostate,4150512,91.9,3814.320528
Alameda,Female,Prostate,4209494,0.0,0.0
Alameda,Male,Breast,4150512,1.2,49.806144
Alameda,Female,Breast,4209494,125.4,5278.705476
Alameda,Male,Lung,4150512,37.8,1568.8935359999998
Alameda,Female,Lung,4209494,34.3,1443.856442
Alameda,Male,CRC,4150512,34.4,1427.7761279999997
Alameda,Female,CRC,4209494,27.6,1161.8203440000002
Alameda,Male,Mela,4150512,25.5,1058.38056
Alameda,Female,Mela,4209494,15.1,635.6335939999999
Alameda,Male,Uterine,4150512,0.0,0.0
Alameda,Female,Uterine,4209494,27.2,1144.982368
Alameda,Male,Lymph,4150512,22.4,929.714688
Alameda,Female,Lymph,4209494,15.0,631.4241
Alameda,Male,Urinary,4150512,24.1,1000.2733920000001
Alameda,Female,Urinary,4209494,5.7,239.941158
Alameda,Male,Kidney,4150512,17.5,726.3396
Alameda,Female,Kidney,4209494,8.5,357.80699000000004
Alameda,Male,Thyroid,4150512,5.6,232.428672
Alameda,Female,Thyroid,4209494,14.9,627.2146060000001
Alameda,Male,Liver,4150512,13.6,564.469632
Alameda,Female,Liver,4209494,5.6,235.731664
Alameda,Male,Pancreas,4150512,13.8,572.770656
Alameda,Female,Pancreas,4209494,11.0,463.04434000000003
Alameda,Male,AllSite,4150512,385.9,16016.825807999998
Alameda,Female,AllSite,4209494,369.7,15562.499317999998
Alpine,Male,Prostate,3286,129.8,4.2652280000000005
Alpine,Female,Prostate,2757,0.0,0.0
Alpine,Male,Breast,3286,0.0,0.0
Alpine,Female,Breast,2757,44.9,1.237893
Alpine,Male,Lung,3286,0.0,0.0
Alpine,Female,Lung,2757,25.5,0.7030350000000001
Alpine,Male,CRC,3286,11.6,0.381176
Alpine,Female,CRC,2757,0.0,0.0
Alpine,Male,Mela,3286,11.6,0.381176
Alpine,Female,Mela,2757,14.3,0.394251
Alpine,Male,Uterine,3286,0.0,0.0
Alpine,Female,Uterine,2757,14.3,0.394251
Alpine,Male,Lymph,3286,40.6,1.334116
Alpine,Female,Lymph,2757,0.0,0.0
Alpine,Male,Urinary,3286,26.7,0.877362
Alpine,Female,Urinary,2757,0.0,0.0
Alpine,Male,Kidney,3286,50.6,1.662716
